( AH
a[pdh[r9r FACILITATE
a[pdh[re FACILITY
a[r(bo[a8 PHOTOGRAPHER
a[r(bo[ae PHOTOGRAPHY
a[ydq[j PHYSICIAN
a]hp FALSE
a]hr FAULT
a]o FOR
a]o FOUR
a]o[i FORUM
a]o[j FOREIGN
a]o[pr FOREST
a]o4[j FORTUNE
a]o4[j[rhe FORTUNATELY
a]oc75 FOREHEAD
a]og FORK
a]oi FORM
a]oi)r FORMAT
a]oi[h FORMAL
a]oi8 FORMER
a]oi9q[j FORMATION
a]oix[h[ FORMULA
a]op FORCE
a]ore FORTY
a]os FORTH
a]os FOURTH
a]ow85 FORWARD
a1j5 FOUND
a1j58 FOUNDER
a1j59q[j FOUNDATION
a238 FIBER
a28 FIRE
a2h FILE
a2j FINE
a2j[h FINAL
a2j[he FINALLY
a2j5 FIND
a2j5dk FINDING
a2r FIGHT
a2r8 FIGHTER
a2rdk FIGHTING
a2v FIVE
a73x[w7oe FEBRUARY
a758[h FEDERAL
a7hl FELLOW
a7jp FENCE
a7o FAIR
a7ohe FAIRLY
a7pr[v[h FESTIVAL
a83d5 FORBID
a868i]o FURTHERMORE
a87v8 FOREVER
a8b7r FORGET
a8bdv FORGIVE
a8i FIRM
a8ihe FIRMLY
a8jd48 FURNITURE
a8pr FIRST
a95 FADE
a9g FAKE
a9h FAIL
a9hx8 FAILURE
a9i FAME
a9i[p FAMOUS
a9p FACE
a9r FATE
a9s FAITH
a9sa[h FAITHFUL
a9v8 FAVOR
a9v8[r FAVORITE
a9y PHASE
adare FIFTY
adarej FIFTEEN
adas FIFTH
adbx8 FIGURE
adgp FIX
adgpr FIXED
adgq[j FICTION
adh FILL
adh[p(adg[h PHILOSOPHICAL
adhi FILM
adhr8 FILTER
adjdq FINISH
adkb8 FINGER
ado FEAR
adpg[h FISCAL
adpr FIST
adq FISH
adqdk FISHING
adr FIT
adrj[p FITNESS
adydg[h PHYSICAL
adydg[he PHYSICALLY
adydgp PHYSICS
ae FEE
ae48 FEATURE
ae5 FEED
ae53)g FEEDBACK
aeh FEEL
aeh5 FIELD
aehdk FEELING
aei9h FEMALE
aev8 FEVER
ah)b FLAG
ah)q FLASH
ah)r FLAT
ah[5 FLOOD
ah] FLAW
ah]o FLOOR
ah18 FLOUR
ah18 FLOWER
ah2 FLY
ah2r FLIGHT
ah7gp[3[h FLEXIBLE
ah7gp[3dh[re FLEXIBILITY
ah7q FLESH
ah9i FLAME
ah9v8 FLAVOR
ahdn FLIP
ahe FLEE
aher FLEET
ahl FLOW
ahlr FLOAT
ahu[5 FLUID
alg FOLK
alg[p FOCUS
alh5 FOLD
alj PHONE
alr[bo)a PHOTOGRAPH
alrl PHOTO
ao)gq[j FRACTION
ao)j42y FRANCHISE
ao)kghe FRANKLY
ao[i FROM
ao[jr FRONT
ao[pro9q[j FRUSTRATION
ao]5 FRAUD
ao25e FRIDAY
ao7j4 FRENCH
ao7j5 FRIEND
ao7j5he FRIENDLY
ao7j5qdn FRIENDSHIP
ao7q FRESH
ao7qi[j FRESHMAN
ao9i FRAME
ao9iw8g FRAMEWORK
ao9y PHRASE
aoe FREE
aoe5[i FREEDOM
aoeg FREAK
aoegw[jpe FREQUENCY
aoegw[jr FREQUENT
aoegw[jrhe FREQUENTLY
aoehe FREELY
aoey FREEZE
aoly[j FROZEN
aour FRUIT
ath FULL
athe FULLY
atr FOOT
atr3]h FOOTBALL
atrdf FOOTAGE
au5 FOOD
auh FOOL
axu FEW
axu[h FUEL
axu48 FUTURE
axu8 FEWER
axuj8[h FUNERAL
b(5 GOD
b(55)i GODDAMN
b(ha GOLF
b(o3df GARBAGE
b(o5 GUARD
b(o5[j GARDEN
b(o5e[j GUARDIAN
b(ohdg GARLIC
b(pn[h GOSPEL
b(q GOSH
b)68 GATHER
b)68dk GATHERING
b)h[gpe GALAXY
b)h[j GALLON
b)h8e GALLERY
b)k GANG
b)n GAP
b)p GAS
b)p[hej GASOLINE
b)pn GASP
b[ha GULF
b[j GUN
b[r GUT
b[r(o GUITAR
b[v8i[jr GOVERNMENT
b[v8j GOVERN
b[v8j8 GOVERNOR
b]of[p GORGEOUS
b2 GUY
b25 GUIDE
b25[jp GUIDANCE
b25h2j GUIDELINE
b7o[jre GUARANTEE
b7p GUESS
b7pr GUEST
b7r GET
b8(z GARAGE
b8h GIRL
b8hao7j5 GIRLFRIEND
b9 GAY
b9i GAME
b9j GAIN
b9r GATE
b9y GAZE
bdar GIFT
bdar[5 GIFTED
bdhr GUILT
bdhre GUILTY
bdo GEAR
bdv GIVE
bdv[j GIVEN
bh)5 GLAD
bh)jp GLANCE
bh)p GLASS
bh[v GLOVE
bh]oe GLORY
bhl3 GLOBE
bhl3[h GLOBAL
bl GO
blh GOAL
blh5 GOLD
blh5[j GOLDEN
blpr GHOST
blr GOAT
bo)3 GRAB
bo)a GRAPH
bo)adg GRAPHIC
bo)f[w[r GRADUATE
bo)fu[he GRADUALLY
bo)fu9q[j GRADUATION
bo)i GRAM
bo)i( GRANDMA
bo)j5 GRAND
bo)j5a(68 GRANDFATHER
bo)j5i[68 GRANDMOTHER
bo)jr GRANT
bo)p GRASS
bo)pn GRASP
bo)v[re GRAVITY
bo1j5 GROUND
bo9 GRAY
bo95 GRADE
bo9j GRAIN
bo9p GRACE
bo9r GREAT
bo9ra[h GRATEFUL
bo9rhe GREATLY
bo9v GRAVE
bod5 GRID
bodn GRIP
boea GRIEF
boeg GREEK
boej GREEN
boer GREET
bol GROW
boldk GROWING
bolp GROSS
bolp8e GROCERY
bols GROWTH
boun GROUP
bt5 GOOD
bt532 GOODBYE
bt5j[p GOODNESS
c( HA
c(ge HOCKEY
c(h[59 HOLIDAY
c(o38 HARBOR
c(o5 HARD
c(o5he HARDLY
c(o5w7o HARDWARE
c(oi HARM
c(oq HARSH
c(or HEART
c(pndr[h HOSPITAL
c(pr[h HOSTILE
c(prdf HOSTAGE
c(r HOT
c)3[r HABIT
c)3[r)r HABITAT
c)a HALF
c)aw9 HALFWAY
c)h[wej HALLOWEEN
c)i8 HAMMER
c)j5 HAND
c)j5[h HANDLE
c)j5ath HANDFUL
c)jp[i HANDSOME
c)k HANG
c)n[he HAPPILY
c)n[j HAPPEN
c)ne HAPPY
c)nej[p HAPPINESS
c)r HAT
c)v HAVE
c[ HUH
c[b HUG
c[hl HELLO
c[j5o[5 HUNDRED
c[je HONEY
c[jr HUNT
c[jr8 HUNTER
c[jrdk HUNTING
c[kb8 HUNGER
c[kboe HUNGRY
c[pn)jdg HISPANIC
c[y3[j5 HUSBAND
c]h HALL
c]hw9 HALLWAY
c]o[3[h HORRIBLE
c]o8 HORROR
c]oilj HORMONE
c]oj HORN
c]op HORSE
c1 HOW
c17v8 HOWEVER
c1p HOUSE
c1pclh5 HOUSEHOLD
c1ydk HOUSING
c2 HI
c2 HIGH
c25 HIDE
c28 HIRE
c2h2r HIGHLIGHT
c2he HIGHLY
c2n(s[p[p HYPOTHESIS
c2r HEIGHT
c2w9 HIGHWAY
c75 HEAD
c759g HEADACHE
c75gw]or8y HEADQUARTERS
c75h2j HEADLINE
c7g HECK
c7h HELL
c7hdg(nr8 HELICOPTER
c7hi[r HELMET
c7hn HELP
c7hna[h HELPFUL
c7hs HEALTH
c7hse HEALTHY
c7jp HENCE
c7o HAIR
c7o[r[f HERITAGE
c7v[he HEAVILY
c7v[j HEAVEN
c7ve HEAVY
c7y[r9r HESITATE
c8 HER
c8)pi[jr HARASSMENT
c8[g9j HURRICANE
c82y[j HORIZON
c8e HURRY
c8p7ha HERSELF
c8r HURT
c8y HERS
c9 HEY
c9r HATE
c9ro[5 HATRED
cd5[j HIDDEN
cdh HILL
cdi HIM
cdip7ha HIMSELF
cdjr HINT
cdn HIP
cdo HEAR
cdo HERE
cdodk HEARING
cdol HERO
cdpr]odg HISTORIC
cdpr]odg[h HISTORICAL
cdpr]odg[he HISTORICALLY
cdpr]oe[j HISTORIAN
cdpr8e HISTORY
cdr HIT
cdy HIS
ce HE
ceh HEAL
ceh HEEL
cer HEAT
clh HOLE
clh WHOLE
clh5 HOLD
clhe HOLY
cli HOME
clih)j5 HOMELAND
clih[p HOMELESS
cliw8g HOMEWORK
cln HOPE
clna[he HOPEFULLY
clpr HOST
clr7h HOTEL
ctg HOOK
cu WHO
cu7v8 WHOEVER
cui WHOM
cuy WHOSE
cxuf HUGE
cxui)j[re HUMANITY
cxui[j HUMAN
cxui8 HUMOR
d5e[r IDIOT
da IF
dbj]o IGNORE
dbj8[jp IGNORANCE
dbj8[jr IGNORANT
dby)gr EXACT
dby)grhe EXACTLY
dby)i EXAM
dby)i[j EXAMINE
dby)i[j9q[j EXAMINATION
dby)in[h EXAMPLE
dby7gx[rdv EXECUTIVE
dbyd3[r EXHIBIT
dbydpr EXIST
dbydprdk EXISTING
dg(j[i[pr ECONOMIST
dg(j[ie ECONOMY
dgp2r EXCITE
dgp2r[5 EXCITED
dgp2rdk EXCITING
dgp2ri[jr EXCITEMENT
dgp49jf EXCHANGE
dgp7nq[j EXCEPTION
dgp7nr EXCEPT
dgp7pdv EXCESSIVE
dgpe5 EXCEED
dgpghu5 EXCLUDE
dgpghupdv EXCLUSIVE
dgpghupdvhe EXCLUSIVELY
dgpgxup EXCUSE
dgpn)j5 EXPAND
dgpn)jq[j EXPANSION
dgpn7gr EXPECT
dgpn7gr[5 EXPECTED
dgpn7jp EXPENSE
dgpn7jpdv EXPENSIVE
dgpn7o[i[jr EXPERIMENT
dgpn7o[i7jr[h EXPERIMENTAL
dgpndoe[jp EXPERIENCE
dgpndoe[jpr EXPERIENCED
dgpnh]o EXPLORE
dgpnh9j EXPLAIN
dgpnhdp[r EXPLICIT
dgpnhdp[rhe EXPLICITLY
dgpnhl5 EXPLODE
dgpnhlz[j EXPLOSION
dgpnly EXPOSE
dgpnlz8 EXPOSURE
dgpno7p EXPRESS
dgpno7q[j EXPRESSION
dgpr7j5 EXTEND
dgpr7j5[5 EXTENDED
dgpr7jpdv EXTENSIVE
dgpr7jq[j EXTENSION
dgpr7jr EXTENT
dgpr8j[h EXTERNAL
dgpro)gr EXTRACT
dgpro]o5[j7oe EXTRAORDINARY
dgproei EXTREME
dgproeihe EXTREMELY
dgw(h[re EQUALITY
dgw9z[j EQUATION
dgwdn EQUIP
dgwdni[jr EQUIPMENT
dgwdv[h[jr EQUIVALENT
dh[pro9q[j ILLUSTRATION
dh[pro9r ILLUSTRATE
dheb[h ILLEGAL
dhj[p ILLNESS
dhuz[j ILLUSION
di)f[j IMAGINE
di)f[j9q[j IMAGINATION
di[bo[jr IMMIGRANT
di[bo9q[j IMMIGRATION
di[f IMAGE
di8f EMERGE
di8f[jpe EMERGENCY
di8fdk EMERGING
didq[j EMISSION
die5e[r IMMEDIATE
die5e[rhe IMMEDIATELY
dilq[j EMOTION
dilq[j[h EMOTIONAL
dilqj[he EMOTIONALLY
din(p[3[h IMPOSSIBLE
din)gr IMPACT
din]or IMPORT
din]or[jp IMPORTANCE
din]or[jr IMPORTANT
din]or[jrhe IMPORTANTLY
dinh[g9q[j IMPLICATION
dinh[i[jr IMPLEMENT
dinh[i7jr9q[j IMPLEMENTATION
dinh2 IMPLY
dinly IMPOSE
dino7p IMPRESS
dino7pdv IMPRESSIVE
dino7q[j IMPRESSION
dinouv IMPROVE
dinouv5 IMPROVED
dinouvi[jr IMPROVEMENT
dixuj IMMUNE
dj[nolnoe[r INAPPROPRIATE
dj[p[jr INNOCENT
dj[v9q[j INNOVATION
dj[v9rdv INNOVATIVE
dj4 INCH
dj5[g9q[j INDICATION
dj5[g9r INDICATE
dj5[g9r8 INDICATOR
dj5[n7j5[jp INDEPENDENCE
dj5[n7j5[jr INDEPENDENT
dj5[proe INDUSTRY
dj5[proe[h INDUSTRIAL
dj5[vdf[w[h INDIVIDUAL
dj57gp INDEX
dj5df[j[p INDIGENOUS
dj5e[j INDIAN
dj5e5 INDEED
dj5up INDUCE
dj7v[r[3[h INEVITABLE
dj8 INNER
dja[jr INFANT
dja]oi INFORM
dja7gq[j INFECTION
dja8i9q[j INFORMATION
djah9q[j INFLATION
djahu[jp INFLUENCE
djahu7j4[h INFLUENTIAL
djal INFO
djao[pro[g48 INFRASTRUCTURE
djc7o[r INHERIT
djdq[h INITIAL
djdq[he INITIALLY
djdq[rdv INITIATIVE
djdqe9r INITIATE
djf8 INJURE
djf8e INJURY
djg[i INCOME
djg]on89r INCORPORATE
djghu5 INCLUDE
djghu5dk INCLUDING
djgo75[3[h INCREDIBLE
djgo75[3he INCREDIBLY
djgoep INCREASE
djgoepdk INCREASING
djgoepdkhe INCREASINGLY
djgoepr INCREASED
djgw2oe INQUIRY
dji9r INMATE
djntr INPUT
djp[5[jr INCIDENT
djp25 INSIDE
djp2r INSIGHT
djp7gr INSECT
djp7jrdv INCENTIVE
djp8r INSERT
djp9j INSANE
djpdpr INSIST
djpn2o INSPIRE
djpn7gq[j INSPECTION
djpn7gr8 INSPECTOR
djpn89q[j INSPIRATION
djpr[h9q[j INSTALLATION
djpr[jp INSTANCE
djpr[jr INSTANT
djpr[jrhe INSTANTLY
djpr[ruq[j INSTITUTION
djpr[ruq[j[h INSTITUTIONAL
djpr[rur INSTITUTE
djpr]h INSTALL
djpr75 INSTEAD
djprdkgr INSTINCT
djpro[gq[j INSTRUCTION
djpro[gq[j[h INSTRUCTIONAL
djpro[gr INSTRUCT
djpro[gr8 INSTRUCTOR
djpro[i[jr INSTRUMENT
djqto[jp INSURANCE
djr[bo9q[j INTEGRATION
djr[bo9r INTEGRATE
djr[h7g4u[h INTELLECTUAL
djr[i[r INTIMATE
djr7bo[re INTEGRITY
djr7h[f[jp INTELLIGENCE
djr7h[f[jr INTELLIGENT
djr7j4[j INTENTION
djr7j5 INTEND
djr7jp INTENSE
djr7jp[re INTENSITY
djr7jr INTENT
djr8)gq[j INTERACTION
djr8)gr INTERACT
djr8[nr INTERRUPT
djr8a9p INTERFACE
djr8ado INTERFERE
djr8j)q[j[h INTERNATIONAL
djr8j[h INTERNAL
djr8j7r INTERNET
djr8no[r INTERPRET
djr8no[r9q[j INTERPRETATION
djr8v[h INTERVAL
djr8v7j4[j INTERVENTION
djr8vxu INTERVIEW
djrdoe8 INTERIOR
djro[5[gq[j INTRODUCTION
djro[5up INTRODUCE
djro[pr INTEREST
djro[pr[5 INTERESTED
djro[prdk INTERESTING
djru INTO
djv(hv INVOLVE
djv(hv5 INVOLVED
djv(hvi[jr INVOLVEMENT
djv[jr]oe INVENTORY
djv[r9q[j INVITATION
djv2r INVITE
djv7jq[j INVENTION
djv7jr INVENT
djv7pr INVEST
djv7pr[b9q[j INVESTIGATION
djv7pr[b9r INVESTIGATE
djv7pr[b9r8 INVESTIGATOR
djv7pr8 INVESTOR
djv7pri[jr INVESTMENT
djv95 INVADE
djv9z[j INVASION
djvdy[3[h INVISIBLE
dkbhdq ENGLISH
dkboe5e[jr INGREDIENT
do EAR
do(je[j IRANIAN
do)ge IRAQI
dph(i ISLAM
dqu ISSUE
dr IT
dr8j[h ETERNAL
drp ITS
dv(hv EVOLVE
dv)hxu9q[j EVALUATION
dv)hxu9r EVALUATE
dv7j4[w[he EVENTUALLY
dv7jr EVENT
dyh(idg ISLAMIC
dyo9he ISRAELI
e4 EACH
e68 EITHER
eb[h EAGLE
eb8 EAGER
ebl EGO
eglpdpr[i ECOSYSTEM
egw[h EQUAL
egw[he EQUALLY
ei9h EMAIL
epr EAST
epr8j EASTERN
er EAT
erdk EATING
ev[h EVIL
ev[j EVEN
evjdk EVENING
ey EASE
ey[he EASILY
eye EASY
f(3 JOB
f(o JAR
f)g[r JACKET
f)jxu7oe JANUARY
f)n[jey JAPANESE
f)y JAZZ
f[f JUDGE
f[fi[jr JUDGMENT
f[in JUMP
f[j7rdg GENETIC
f[kb[h JUNGLE
f[kg JUNK
f[pr JUST
f[pr[a2 JUSTIFY
f[pr[p JUSTICE
f] JAW
f2[jr GIANT
f7h[p JEALOUS
f7j58 GENDER
f7j8[h GENERAL
f7j8[he GENERALLY
f7j8[p GENEROUS
f7j89q[j GENERATION
f7j89r GENERATE
f7jr[h GENTLE
f7jr[hi[j GENTLEMAN
f7jrhe GENTLY
f7jx[w[j GENUINE
f7p48 GESTURE
f7r JET
f8i[j GERMAN
f8j[h JOURNAL
f8j[h[pr JOURNALIST
f8j[hdy[i JOURNALISM
f8je JOURNEY
f9h JAIL
fdi GYM
fej GENE
fejx[p GENIUS
fejy JEANS
flg JOKE
fm JOY
fmj JOIN
fmjr JOINT
fto[p5dgq[j JURISDICTION
fto8 JUROR
ftoe JURY
fu[hoe JEWELRY
fu5dq[h JUDICIAL
fudq JEWISH
fuh2 JULY
fuj JUNE
fujx8 JUNIOR
fup JUICE
g(ae COFFEE
g(bj[rdv COGNITIVE
g(h[i COLUMN
g(h[ij[pr COLUMNIST
g(h[je COLONY
g(h8 COLLAR
g(hdf COLLEGE
g(heb COLLEAGUE
g(i CALM
g(i[5e COMEDY
g(i[j COMMON
g(i[jhe COMMONLY
g(i[jr7oe COMMENTARY
g(i3)r COMBAT
g(i3[j9q[j COMBINATION
g(i32j COMBINE
g(i7jr COMMENT
g(i8p COMMERCE
g(idg COMIC
g(in[jp9q[j COMPENSATION
g(in[rdq[j COMPETITION
g(in[ydq[j COMPOSITION
g(in1j5 COMPOUND
g(inh[g9r[5 COMPLICATED
g(inh7gp COMPLEX
g(ino[i2y COMPROMISE
g(inoec7jpdv COMPREHENSIVE
g(ix[j[pr COMMUNIST
g(ja[5[jp CONFIDENCE
g(ja[5[jr CONFIDENT
g(ja8[jp CONFERENCE
g(jahdgr CONFLICT
g(jp[gw[jp CONSEQUENCE
g(jp[gw[jrhe CONSEQUENTLY
g(jp[jro9q[j CONCENTRATION
g(jp[jro9r CONCENTRATE
g(jp7nr CONCEPT
g(jp8r CONCERT
g(jp8v9q[j CONSERVATION
g(jpr[jr CONSTANT
g(jpr[jrhe CONSTANTLY
g(jpr[ruq[j CONSTITUTION
g(jpr[ruq[j[h CONSTITUTIONAL
g(jpr[rur CONSTITUTE
g(jq[jp CONSCIENCE
g(jq[p CONSCIOUS
g(jq[pj[p CONSCIOUSNESS
g(jr)gr CONTACT
g(jr[j[jr CONTINENT
g(jr7gpr CONTEXT
g(jr7jr CONTENT
g(jr7pr CONTEST
g(jro)gr CONTRACT
g(jro)gr8 CONTRACTOR
g(jro)pr CONTRAST
g(jro[3xuq[j CONTRIBUTION
g(jro[v8pe CONTROVERSY
g(jro[v8q[h CONTROVERSIAL
g(jv8p9q[j CONVERSATION
g(jv8r CONVERT
g(jvdgr CONVICT
g(kbo[p CONGRESS
g(kbo[pi[j CONGRESSMAN
g(n COP
g(ne COPY
g(neo2r COPYRIGHT
g(o CAR
g(o3[j CARBON
g(o3lc25o9r CARBOHYDRATE
g(o5 CARD
g(on[r CARPET
g(or CART
g(oruj CARTOON
g(ov CARVE
g(pr COST
g(prui COSTUME
g(r[j COTTON
g(y CAUSE
g)3 CAB
g)3[j CABIN
g)3[j[r CABINET
g)4 CATCH
g)h[j58 CALENDAR
g)h8e CALORIE
g)hgx[h9q[j CALCULATION
g)hgx[h9r CALCULATE
g)i8[ CAMERA
g)in CAMP
g)in[p CAMPUS
g)in9j CAMPAIGN
g)j CAN
g)j5[59r CANDIDATE
g)j5[h CANDLE
g)j5e CANDY
g)jp[h CANCEL
g)jp8 CANCER
g)jv[p CANVAS
g)n CAP
g)n[r[h CAPITAL
g)n[r[hdy[i CAPITALISM
g)n48 CAPTURE
g)nr[j CAPTAIN
g)oe CARRY
g)oe8 CARRIER
g)p[h CASTLE
g)pr CAST
g)q CASH
g)r CAT
g)r[b]oe CATEGORY
g)r[h CATTLE
g)shdg CATHOLIC
g)z[w[h CASUAL
g)z[w[hre CASUALTY
g[a9 CAFE
g[h)389q[j COLLABORATION
g[h)np COLLAPSE
g[h48 CULTURE
g[h48[h CULTURAL
g[h7gq[j COLLECTION
g[h7gr COLLECT
g[h7gr8 COLLECTOR
g[h7grdv COLLECTIVE
g[h7pr8]h CHOLESTEROL
g[h8 COLOR
g[hlje[h COLONIAL
g[i COME
g[i(5[re COMMODITY
g[i)j5 COMMAND
g[i)j58 COMMANDER
g[i32j5 COMBINED
g[i8q[h COMMERCIAL
g[ia8r COMFORT
g[ia8r[3[h COMFORTABLE
g[idk COMING
g[idq[j COMMISSION
g[idq[j8 COMMISSIONER
g[idr COMMIT
g[idre COMMITTEE
g[idri[jr COMMITMENT
g[in)jx[j COMPANION
g[in)q[j COMPASSION
g[in[je COMPANY
g[in7h COMPEL
g[in7hdk COMPELLING
g[in7o COMPARE
g[in7o[p[j COMPARISON
g[in7r[r8 COMPETITOR
g[in7r[rdv COMPETITIVE
g[iner COMPETE
g[inh2 COMPLY
g[inh2[jp COMPLIANCE
g[inh7gp[re COMPLEXITY
g[inh9j COMPLAIN
g[inh9jr COMPLAINT
g[inher COMPLETE
g[inherhe COMPLETELY
g[inlj[jr COMPONENT
g[inly COMPOSE
g[ino2y COMPRISE
g[inxur8 COMPUTER
g[ixuj[g9q[j COMMUNICATION
g[ixuj[g9r COMMUNICATE
g[ixuj[re COMMUNITY
g[j5[gr CONDUCT
g[j57i CONDEMN
g[j5dq[j CONDITION
g[j7gq[j CONNECTION
g[j7gr CONNECT
g[j95e[j CANADIAN
g[ja7p CONFESS
g[ja8i CONFIRM
g[jao[jr CONFRONT
g[jaxuy CONFUSE
g[jaxuz[j CONFUSION
g[jbo7q[j[h CONGRESSIONAL
g[jghu5 CONCLUDE
g[jghuz[j CONCLUSION
g[jgoer CONCRETE
g[jp[hr CONSULT
g[jp[hr[jr CONSULTANT
g[jp[inq[j CONSUMPTION
g[jp7gx[rdv CONSECUTIVE
g[jp7jp[p CONSENSUS
g[jp7jr CONSENT
g[jp7nq[j CONCEPTION
g[jp8j CONCERN
g[jp8j5 CONCERNED
g[jp8jdk CONCERNING
g[jp8v[rdv CONSERVATIVE
g[jpd58 CONSIDER
g[jpd58[3[h CONSIDERABLE
g[jpd589q[j CONSIDERATION
g[jpd58dk CONSIDERING
g[jpdpr CONSIST
g[jpdpr[jr CONSISTENT
g[jpdpr[jrhe CONSISTENTLY
g[jpev CONCEIVE
g[jpndo[pe CONSPIRACY
g[jpro[gq[j CONSTRUCTION
g[jpro[gr CONSTRUCT
g[jpro9jr CONSTRAINT
g[jpui CONSUME
g[jpui8 CONSUMER
g[jr7in87oe CONTEMPORARY
g[jr7j5 CONTEND
g[jr9j CONTAIN
g[jr9j8 CONTAINER
g[jrdjxu CONTINUE
g[jrdjxu[p CONTINUOUS
g[jrdjxu5 CONTINUED
g[jrdjxudk CONTINUING
g[jrod3x[r8 CONTRIBUTOR
g[jrod3xur CONTRIBUTE
g[jroe COUNTRY
g[jrolh CONTROL
g[jv7jq[j CONVENTION
g[jv7jq[j[h CONVENTIONAL
g[jv8z[j CONVERSION
g[jv9 CONVEY
g[jvdgq[j CONVICTION
g[jvdjp CONVINCE
g[jvdjpr CONVINCED
g[n CUP
g[n)p[re CAPACITY
g[n[h COUPLE
g[pejl CASINO
g[pr[5e CUSTODY
g[pr[i CUSTOM
g[pr[i8 CUSTOMER
g[r CUT
g[v8 COVER
g[v8[f COVERAGE
g[y[j COUSIN
g]h CALL
g]h8 CALLER
g]o CORE
g]o CORPS
g]o[58 CORRIDOR
g]o[h9q[j CORRELATION
g]o[pn(j5[jr CORRESPONDENT
g]o5 CORD
g]oe[j KOREAN
g]oj CORN
g]oj8 CORNER
g]on8[r CORPORATE
g]on89q[j CORPORATION
g]op COURSE
g]or COURT
g]oroui COURTROOM
g1 COW
g13m COWBOY
g14 COUCH
g1jp[h COUNCIL
g1jp[h COUNSEL
g1jp[h8 COUNSELOR
g1jp[hdk COUNSELING
g1jr COUNT
g1jr8 COUNTER
g1jr8n(or COUNTERPART
g1jre COUNTY
g1jrh[p COUNTLESS
g2j5 KIND
g7i[g[h CHEMICAL
g7i[proe CHEMISTRY
g7o CARE
g7o[gr82y CHARACTERIZE
g7o[gr8dprdg CHARACTERISTIC
g7oa[h CAREFUL
g7oa[he CAREFULLY
g7odgr8 CHARACTER
g8[f COURAGE
g8[jpe CURRENCY
g8[jr CURRENT
g8[jrhe CURRENTLY
g8[nq[j CORRUPTION
g8[nr CORRUPT
g87gq[j CORRECTION
g87gr CORRECT
g87grhe CORRECTLY
g8dgx[h[i CURRICULUM
g8do CAREER
g8j[h COLONEL
g8r[j CURTAIN
g8r[pe COURTESY
g8v CURVE
g9(p CHAOS
g93[h CABLE
g9f CAGE
g9g CAKE
g9n[3[h CAPABLE
g9n[3dh[re CAPABILITY
g9p CASE
g9v CAVE
gd4[j KITCHEN
gd5 KID
gdg KICK
gdh KILL
gdh8 KILLER
gdhdk KILLING
gdj5[ KINDA
gdk KING
gdk5[i KINGDOM
gdp KISS
gdr KIT
ge KEY
ge3]o5 KEYBOARD
gen KEEP
gh(g CLOCK
gh(y[r CLOSET
gh)p CLASS
gh)p[a2 CLASSIFY
gh)pdg CLASSIC
gh)pdg[h CLASSICAL
gh)poui CLASSROOM
gh[3 CLUB
gh[pr8 CLUSTER
gh]s CLOTH
gh]y CLAUSE
gh15 CLOUD
gh2[jr CLIENT
gh2i CLIMB
gh2i[r CLIMATE
gh7o[a2 CLARIFY
gh7v8 CLEVER
gh8g CLERK
gh9 CLAY
gh9i CLAIM
ghda CLIFF
ghdg CLICK
ghdj[g[h CLINICAL
ghdjdg CLINIC
ghdn CLIP
ghdo CLEAR
ghdohe CLEARLY
ghej CLEAN
ghl6dk CLOTHING
ghl6y CLOTHES
ghlp CLOSE
ghlphe CLOSELY
ghly5 CLOSED
ghu CLUE
gl(n89q[j COOPERATION
gl(n89r COOPERATE
gl[hdq[j COALITION
gl]o5[j9r8 COORDINATOR
gl4 COACH
gl5 CODE
glh COAL
glh5 COLD
gln COPE
glpr COAST
glpr[h COASTAL
glr COAT
gmj COIN
go(j[g[h CHRONICLE
go(jdg CHRONIC
go(n CROP
go)ar CRAFT
go)g CRACK
go)n CRAP
go)q CRASH
go[q CRUSH
go[reg CRITIQUE
go]h CRAWL
go]p CROSS
go15 CROWD
go1j CROWN
go2 CRY
go2i CRIME
go2p[p CRISIS
go2rdoe[ CRITERIA
go75[3dh[re CREDIBILITY
go75[r CREDIT
go9ye CRAZY
godi[j[h CRIMINAL
godp4[j CHRISTIAN
godp4e)j[re CHRISTIANITY
godpi[p CHRISTMAS
godpr[h CRYSTAL
godr[p2y CRITICIZE
godr[pdy[i CRITICISM
godrdg CRITIC
godrdg[h CRITICAL
goe48 CREATURE
goe9q[j CREATION
goe9r CREATE
goe9r8 CREATOR
goe9rdv CREATIVE
goe9rdv[re CREATIVITY
goeg CREEK
goei CREAM
gou CREW
gou[h CRUEL
gouq[h CRUCIAL
gouy CRUISE
gt5 COULD
gtg COOK
gtgdk COOKING
gtge COOKIE
guh COOL
gw(h[a2 QUALIFY
gw(h[re QUALITY
gw(jr[i QUANTUM
gw(jr[re QUANTITY
gw]or8 QUARTER
gw]or83)g QUARTERBACK
gw2[r QUIET
gw2[rhe QUIETLY
gw2r QUITE
gw7p4[j QUESTION
gw7p4[j7o QUESTIONNAIRE
gw7pr QUEST
gwdg QUICK
gwdghe QUICKLY
gwdr QUIT
gwej QUEEN
gwlr QUOTE
gxto CURE
gxtoe(p[re CURIOSITY
gxtoe[p CURIOUS
gxu CUE
gxur CUTE
h( LAW
h(3e LOBBY
h(fdg LOGIC
h(fdg[h LOGICAL
h(g LOCK
h(g8 LOCKER
h(of LARGE
h(ofhe LARGELY
h(r LOT
h(rp LOTS
h)3 LAB
h)3o[r]oe LABORATORY
h)a LAUGH
h)ar8 LAUGHTER
h)g LACK
h)in LAMP
h)j5 LAND
h)j5dk LANDING
