ACCEPT IT	EXCEPT AT
DOOR WISH	WAR DISH
DOOR YEAR	YOUR DEAR
DOOR YET	YOUR DEBT
DOOR YOU	YOUR DO
DOT HAIR	HOT DARE
DOT HATE	HOT DATE
DOT HEAD	HOT DEAD
DOT HEADLINE	HOT DEADLINE
DOT HEAL	HOT DEAL
DOT HEAR	HOT DEAR
DOT HECK	HOT DECK
DOT HEEL	HOT DEAL
DOT HERE	HOT DEAR
DOT HEY	HOT DAY
DOT HI	HOT DIE
DOT HIGH	HOT DIE
DOT HURT	HOT DIRT
DOT KNOCK	NOT DOC
DOT KNOW	NOT DOUGH
DOT LATE	LOT DATE
DOT LAWN	LOT DAWN
DOT LAY	LOT DAY
DOT LEAD	LOT DEAD
DOT LEAP	LOT DEEP
DOT LET	LOT DEBT
DOT LEVEL	LOT DEVIL
DOT LIE	LOT DIE
DOT LOCK	LOT DOC
DOT LOG	LOT DOG
DOT LOW	LOT DOUGH
DOT LUCK	LOT DUCK
DOT NEAR	NOT DEAR
DOT NECK	NOT DECK
DOT NET	NOT DEBT
DOT NEW	NOT DO
DOT NO	NOT DOUGH
DOT NOMINATE	NOT DOMINATE
DOT NOR	NOT DOOR
DOT PAD	POT DAD
DOT PAIR	POT DARE
DOT PARK	POT DARK
DOT PAY	POT DAY
DOT PEEL	POT DEAL
DOT PEER	POT DEAR
DOT PET	POT DEBT
DOT PIE	POT DIE
DOT PIG	POT DIG
DOT POUR	POT DOOR
DOT PRESS	POT DRESS
DOT PUMP	POT DUMP
DOT SHARE	SHOT DARE
DOT SHARK	SHOT DARK
DOT SHEEP	SHOT DEEP
DOT SHEER	SHOT DEAR
DOT SHIRT	SHOT DIRT
DOT SHOCK	SHOT DOC
DOT SHOE	SHOT DO
DOT SHORE	SHOT DOOR
DOT SHOUT	SHOT DOUBT
DOT SHOW	SHOT DOUGH
DOT SHRINK	SHOT DRINK
DOT SHRUG	SHOT DRUG
DOT SHY	SHOT DIE
DOT WHO	HOT DO
DOUBLE BAD	BUBBLE DAD
DOUBLE BARE	BUBBLE DARE
DOUBLE BAY	BUBBLE DAY
DOUBLE BEAM	BUBBLE DEEM
DOUBLE BEAR	BUBBLE DARE
DOUBLE BED	BUBBLE DEAD
DOUBLE BEER	BUBBLE DEAR
DOUBLE BESIDE	BUBBLE DECIDE
DOUBLE BET	BUBBLE DEBT
DOUBLE BIG	BUBBLE DIG
DOUBLE BRAIN	BUBBLE DRAIN
DOUBLE BROWN	BUBBLE DROWN
DOUBLE BUCK	BUBBLE DUCK
DOUBLE BUY	BUBBLE DIE
DOUBLE BY	BUBBLE DIE
DOUBLE BYE	BUBBLE DIE
DOUBT SHARE	SHOUT DARE
DOUBT SHARK	SHOUT DARK
DOUBT SHEEP	SHOUT DEEP
DOUBT SHEER	SHOUT DEAR
DOUBT SHIRT	SHOUT DIRT
DOUBT SHOCK	SHOUT DOC
DOUBT SHOE	SHOUT DO
DOUBT SHORE	SHOUT DOOR
DOUBT SHOT	SHOUT DOT
DOUBT SHOW	SHOUT DOUGH
DOUBT SHRINK	SHOUT DRINK
DOUBT SHRUG	SHOUT DRUG
DOUBT SHY	SHOUT DIE
DOUGH GATE	GO DATE
DOUGH GAY	GO DAY
DOUGH GEAR	GO DEAR
DOUGH GET	GO DEBT
DOUGH GRAIN	GO DRAIN
DOUGH GUY	GO DIE
DOUGH KNOCK	KNOW DOC
DOUGH LATE	LOW DATE
DOUGH LAWN	LOW DAWN
DOUGH LAY	LOW DAY
DOUGH LEAD	LOW DEAD
DOUGH LEAP	LOW DEEP
DOUGH LET	LOW DEBT
DOUGH LEVEL	LOW DEVIL
DOUGH LIE	LOW DIE
DOUGH LOCK	LOW DOC
DOUGH LOG	LOW DOG
DOUGH LOT	LOW DOT
DOUGH LUCK	LOW DUCK
DOUGH NEAR	KNOW DEAR
DOUGH NECK	KNOW DECK
DOUGH NET	KNOW DEBT
DOUGH NEW	KNOW DO
DOUGH NOMINATE	KNOW DOMINATE
DOUGH NOR	KNOW DOOR
DOUGH NOT	KNOW DOT
DOUGH RARE	ROW DARE
DOUGH RATE	ROW DATE
DOUGH RAY	ROW DAY
DOUGH RE	ROW DAY
DOUGH READ	ROW DEAD
DOUGH REAL	ROW DEAL
DOUGH RECENT	ROW DECENT
DOUGH RED	ROW DEAD
DOUGH RESERVE	ROW DESERVE
DOUGH RESIGN	ROW DESIGN
DOUGH RIOT	ROW DIET
DOUGH RISK	ROW DISK
DOUGH ROCK	ROW DOC
DOUGH RUDE	ROW DUDE
DOUGH SAD	SO DAD
DOUGH SAY	SO DAY
DOUGH SEAL	SO DEAL
DOUGH SEEM	SO DEEM
DOUGH SET	SO DEBT
DOUGH SHARE	SHOW DARE
DOUGH SHARK	SHOW DARK
DOUGH SHEEP	SHOW DEEP
DOUGH SHEER	SHOW DEAR
DOUGH SHIRT	SHOW DIRT
DOUGH SHOCK	SHOW DOC
DOUGH SHOE	SHOW DO
DOUGH SHORE	SHOW DOOR
DOUGH SHOT	SHOW DOT
DOUGH SHOUT	SHOW DOUBT
DOUGH SHRINK	SHOW DRINK
DOUGH SHRUG	SHOW DRUG
DOUGH SHY	SHOW DIE
DOUGH SIGH	SO DIE
DOUGH SOCK	SO DOC
DOUGH SOME	SO DUMB
DOUGH SUCH	SO DUTCH
DOUGH SUCK	SO DUCK
DOUGH SUE	SO DO
DOUGH SUM	SO DUMB
DOUGH TEAM	TOE DEEM
DOUGH TEAR	TOE DARE
DOUGH TECH	TOE DECK
DOUGH THEIR	THOUGH DARE
DOUGH THERE	THOUGH DARE
DOUGH THEY	THOUGH DAY
DOUGH TIE	TOE DIE
DOUGH TO	TOE DO
DOUGH TOO	TOE DO
DOUGH TOUCH	TOE DUTCH
DOUGH TOWN	TOE DOWN
DOUGH TRAIN	TOE DRAIN
DOUGH TRUNK	TOE DRUNK
DOUGH TRY	TOE DRY
DOUGH TUCK	TOE DUCK
DOUGH TWO	TOE DO
DOUGH WAIT	WHOA DATE
DOUGH WALK	WHOA DOC
DOUGH WAR	WHOA DOOR
DOUGH WATER	WHOA DAUGHTER
DOUGH WAY	WHOA DAY
DOUGH WEAR	WHOA DARE
DOUGH WEIGH	WHOA DAY
DOUGH WEIGHT	WHOA DATE
DOUGH WET	WHOA DEBT
DOUGH WHEEL	WHOA DEAL
DOUGH WHERE	WHOA DARE
DOUGH WHY	WHOA DIE
DOUGH WINNER	WHOA DINNER
DOUGH WISH	WHOA DISH
DOWN TEAM	TOWN DEEM
DOWN TEAR	TOWN DARE
DOWN TECH	TOWN DECK
DOWN TIE	TOWN DIE
DOWN TO	TOWN DO
DOWN TOE	TOWN DOUGH
DOWN TOO	TOWN DO
DOWN TOUCH	TOWN DUTCH
DOWN TRAIN	TOWN DRAIN
DOWN TRUNK	TOWN DRUNK
DOWN TRY	TOWN DRY
DOWN TUCK	TOWN DUCK
DOWN TWO	TOWN DO
DOZEN CANCER	COUSIN DANCER
DOZEN CARE	COUSIN DARE
DOZEN COLLAR	COUSIN DOLLAR
DOZEN COME	COUSIN DUMB
DOZEN CORE	COUSIN DOOR
DOZEN CORPS	COUSIN DOOR
DOZEN CORRECT	COUSIN DIRECT
DOZEN CORRECTION	COUSIN DIRECTION
DOZEN CORRECTLY	COUSIN DIRECTLY
DOZEN CRAFT	COUSIN DRAFT
DOZEN CREAM	COUSIN DREAM
DOZEN CROP	COUSIN DROP
DOZEN CROWN	COUSIN DROWN
DOZEN CRY	COUSIN DRY
DOZEN KEEP	COUSIN DEEP
DRAFT CANCER	CRAFT DANCER
DRAFT CARE	CRAFT DARE
DRAFT COLLAR	CRAFT DOLLAR
DRAFT COME	CRAFT DUMB
DRAFT CORE	CRAFT DOOR
DRAFT CORPS	CRAFT DOOR
DRAFT CORRECT	CRAFT DIRECT
DRAFT CORRECTION	CRAFT DIRECTION
DRAFT CORRECTLY	CRAFT DIRECTLY
DRAFT COUSIN	CRAFT DOZEN
DRAFT CREAM	CRAFT DREAM
DRAFT CROP	CRAFT DROP
DRAFT CROWN	CRAFT DROWN
DRAFT CRY	CRAFT DRY
DRAFT KEEP	CRAFT DEEP
DRAIN BAD	BRAIN DAD
DRAIN BARE	BRAIN DARE
DRAIN BAY	BRAIN DAY
DRAIN BEAM	BRAIN DEEM
DRAIN BEAR	BRAIN DARE
DRAIN BED	BRAIN DEAD
DRAIN BEER	BRAIN DEAR
DRAIN BESIDE	BRAIN DECIDE
DRAIN BET	BRAIN DEBT
DRAIN BIG	BRAIN DIG
DRAIN BROWN	BRAIN DROWN
DRAIN BUBBLE	BRAIN DOUBLE
DRAIN BUCK	BRAIN DUCK
DRAIN BUY	BRAIN DIE
DRAIN BY	BRAIN DIE
DRAIN BYE	BRAIN DIE
DRAIN GATE	GRAIN DATE
DRAIN GAY	GRAIN DAY
DRAIN GEAR	GRAIN DEAR
DRAIN GET	GRAIN DEBT
DRAIN GO	GRAIN DOUGH
DRAIN GUY	GRAIN DIE
DRAIN TEAM	TRAIN DEEM
DRAIN TEAR	TRAIN DARE
DRAIN TECH	TRAIN DECK
DRAIN TIE	TRAIN DIE
DRAIN TO	TRAIN DO
DRAIN TOE	TRAIN DOUGH
DRAIN TOO	TRAIN DO
DRAIN TOUCH	TRAIN DUTCH
DRAIN TOWN	TRAIN DOWN
DRAIN TRUNK	TRAIN DRUNK
DRAIN TRY	TRAIN DRY
DRAIN TUCK	TRAIN DUCK
DRAIN TWO	TRAIN DO
DREAM CANCER	CREAM DANCER
DREAM CARE	CREAM DARE
DREAM COLLAR	CREAM DOLLAR
DREAM COME	CREAM DUMB
DREAM CORE	CREAM DOOR
DREAM CORPS	CREAM DOOR
DREAM CORRECT	CREAM DIRECT
DREAM CORRECTION	CREAM DIRECTION
DREAM CORRECTLY	CREAM DIRECTLY
DREAM COUSIN	CREAM DOZEN
DREAM CRAFT	CREAM DRAFT
DREAM CROP	CREAM DROP
DREAM CROWN	CREAM DROWN
DREAM CRY	CREAM DRY
DREAM KEEP	CREAM DEEP
DRESS PAD	PRESS DAD
DRESS PAIR	PRESS DARE
DRESS PARK	PRESS DARK
DRESS PAY	PRESS DAY
DRESS PEEL	PRESS DEAL
DRESS PEER	PRESS DEAR
DRESS PET	PRESS DEBT
DRESS PIE	PRESS DIE
DRESS PIG	PRESS DIG
DRESS POT	PRESS DOT
DRESS POUR	PRESS DOOR
DRESS PUMP	PRESS DUMP
DRINK SHARE	SHRINK DARE
DRINK SHARK	SHRINK DARK
DRINK SHEEP	SHRINK DEEP
DRINK SHEER	SHRINK DEAR
DRINK SHIRT	SHRINK DIRT
DRINK SHOCK	SHRINK DOC
DRINK SHOE	SHRINK DO
DRINK SHORE	SHRINK DOOR
DRINK SHOT	SHRINK DOT
DRINK SHOUT	SHRINK DOUBT
DRINK SHOW	SHRINK DOUGH
DRINK SHRUG	SHRINK DRUG
DRINK SHY	SHRINK DIE
DRIVE THEME	THRIVE DEEM
DRIVE THIGH	THRIVE DIE
DRIVE THUMB	THRIVE DUMB
DROP CANCER	CROP DANCER
DROP CARE	CROP DARE
DROP COLLAR	CROP DOLLAR
DROP COME	CROP DUMB
DROP CORE	CROP DOOR
DROP CORPS	CROP DOOR
DROP CORRECT	CROP DIRECT
DROP CORRECTION	CROP DIRECTION
DROP CORRECTLY	CROP DIRECTLY
DROP COUSIN	CROP DOZEN
DROP CRAFT	CROP DRAFT
DROP CREAM	CROP DREAM
DROP CROWN	CROP DROWN
DROP CRY	CROP DRY
DROP KEEP	CROP DEEP
DROWN BAD	BROWN DAD
DROWN BARE	BROWN DARE
DROWN BAY	BROWN DAY
DROWN BEAM	BROWN DEEM
DROWN BEAR	BROWN DARE
DROWN BED	BROWN DEAD
DROWN BEER	BROWN DEAR
DROWN BESIDE	BROWN DECIDE
DROWN BET	BROWN DEBT
DROWN BIG	BROWN DIG
DROWN BRAIN	BROWN DRAIN
DROWN BUBBLE	BROWN DOUBLE
DROWN BUCK	BROWN DUCK
DROWN BUY	BROWN DIE
DROWN BY	BROWN DIE
DROWN BYE	BROWN DIE
DROWN CANCER	CROWN DANCER
DROWN CARE	CROWN DARE
DROWN COLLAR	CROWN DOLLAR
DROWN COME	CROWN DUMB
DROWN CORE	CROWN DOOR
DROWN CORPS	CROWN DOOR
DROWN CORRECT	CROWN DIRECT
DROWN CORRECTION	CROWN DIRECTION
DROWN CORRECTLY	CROWN DIRECTLY
DROWN COUSIN	CROWN DOZEN
DROWN CRAFT	CROWN DRAFT
DROWN CREAM	CROWN DREAM
DROWN CROP	CROWN DROP
DROWN CRY	CROWN DRY
DROWN KEEP	CROWN DEEP
DRUG SHARE	SHRUG DARE
DRUG SHARK	SHRUG DARK
DRUG SHEEP	SHRUG DEEP
DRUG SHEER	SHRUG DEAR
DRUG SHIRT	SHRUG DIRT
DRUG SHOCK	SHRUG DOC
DRUG SHOE	SHRUG DO
DRUG SHORE	SHRUG DOOR
DRUG SHOT	SHRUG DOT
DRUG SHOUT	SHRUG DOUBT
DRUG SHOW	SHRUG DOUGH
DRUG SHRINK	SHRUG DRINK
DRUG SHY	SHRUG DIE
DRUM FAIR	FROM DARE
DRUM FALL	FROM DOLL
DRUM FATE	FROM DATE
DRUM FEAR	FROM DEAR
DRUM FEEL	FROM DEAL
DRUM FISH	FROM DISH
DRUM FOOD	FROM DUDE
DRUM FOR	FROM DOOR
DRUM FOUR	FROM DOOR
DRUM FUCK	FROM DUCK
DRUNK TEAM	TRUNK DEEM
DRUNK TEAR	TRUNK DARE
DRUNK TECH	TRUNK DECK
DRUNK TIE	TRUNK DIE
DRUNK TO	TRUNK DO
DRUNK TOE	TRUNK DOUGH
DRUNK TOO	TRUNK DO
DRUNK TOUCH	TRUNK DUTCH
DRUNK TOWN	TRUNK DOWN
DRUNK TRAIN	TRUNK DRAIN
DRUNK TRY	TRUNK DRY
DRUNK TUCK	TRUNK DUCK
DRUNK TWO	TRUNK DO
DRY CANCER	CRY DANCER
DRY CARE	CRY DARE
DRY COLLAR	CRY DOLLAR
DRY COME	CRY DUMB
DRY CORE	CRY DOOR
DRY CORPS	CRY DOOR
DRY CORRECT	CRY DIRECT
DRY CORRECTION	CRY DIRECTION
DRY CORRECTLY	CRY DIRECTLY
DRY COUSIN	CRY DOZEN
DRY CRAFT	CRY DRAFT
DRY CREAM	CRY DREAM
DRY CROP	CRY DROP
DRY CROWN	CRY DROWN
DRY KEEP	CRY DEEP
DRY TEAM	TRY DEEM
DRY TEAR	TRY DARE
DRY TECH	TRY DECK
DRY TIE	TRY DIE
DRY TO	TRY DO
DRY TOE	TRY DOUGH
DRY TOO	TRY DO
DRY TOUCH	TRY DUTCH
DRY TOWN	TRY DOWN
DRY TRAIN	TRY DRAIN
DRY TRUNK	TRY DRUNK
DRY TUCK	TRY DUCK
DRY TWO	TRY DO
DUCK BAD	BUCK DAD
DUCK BARE	BUCK DARE
DUCK BAY	BUCK DAY
DUCK BEAM	BUCK DEEM
DUCK BEAR	BUCK DARE
DUCK BED	BUCK DEAD
DUCK BEER	BUCK DEAR
DUCK BESIDE	BUCK DECIDE
DUCK BET	BUCK DEBT
DUCK BIG	BUCK DIG
DUCK BRAIN	BUCK DRAIN
DUCK BROWN	BUCK DROWN
DUCK BUBBLE	BUCK DOUBLE
DUCK BUY	BUCK DIE
DUCK BY	BUCK DIE
DUCK BYE	BUCK DIE
DUCK FAIR	FUCK DARE
DUCK FALL	FUCK DOLL
DUCK FATE	FUCK DATE
DUCK FEAR	FUCK DEAR
DUCK FEEL	FUCK DEAL
DUCK FISH	FUCK DISH
DUCK FOOD	FUCK DUDE
DUCK FOR	FUCK DOOR
DUCK FOUR	FUCK DOOR
DUCK FROM	FUCK DRUM
DUCK LATE	LUCK DATE
DUCK LAWN	LUCK DAWN
DUCK LAY	LUCK DAY
DUCK LEAD	LUCK DEAD
DUCK LEAP	LUCK DEEP
DUCK LET	LUCK DEBT
DUCK LEVEL	LUCK DEVIL
DUCK LIE	LUCK DIE
DUCK LOCK	LUCK DOC
DUCK LOG	LUCK DOG
DUCK LOT	LUCK DOT
DUCK LOW	LUCK DOUGH
DUCK SAD	SUCK DAD
DUCK SAY	SUCK DAY
DUCK SEAL	SUCK DEAL
DUCK SEEM	SUCK DEEM
DUCK SET	SUCK DEBT
DUCK SIGH	SUCK DIE
DUCK SO	SUCK DOUGH
DUCK SOCK	SUCK DOC
DUCK SOME	SUCK DUMB
DUCK SUCH	SUCK DUTCH
DUCK SUE	SUCK DO
DUCK SUM	SUCK DUMB
DUCK TEAM	TUCK DEEM
DUCK TEAR	TUCK DARE
DUCK TECH	TUCK DECK
DUCK TIE	TUCK DIE
DUCK TO	TUCK DO
DUCK TOE	TUCK DOUGH
DUCK TOO	TUCK DO
DUCK TOUCH	TUCK DUTCH
DUCK TOWN	TUCK DOWN
DUCK TRAIN	TUCK DRAIN
DUCK TRUNK	TUCK DRUNK
DUCK TRY	TUCK DRY
DUCK TWO	TUCK DO
DUDE FAIR	FOOD DARE
DUDE FALL	FOOD DOLL
DUDE FATE	FOOD DATE
DUDE FEAR	FOOD DEAR
DUDE FEEL	FOOD DEAL
DUDE FISH	FOOD DISH
DUDE FOR	FOOD DOOR
DUDE FOUR	FOOD DOOR
DUDE FROM	FOOD DRUM
DUDE FUCK	FOOD DUCK
DUDE MA'AM	MOOD DAMN
DUDE MAD	MOOD DAD
DUDE MARK	MOOD DARK
DUDE MATE	MOOD DATE
DUDE MAY	MOOD DAY
DUDE MEAL	MOOD DEAL
DUDE MERE	MOOD DEAR
DUDE MORE	MOOD DOOR
DUDE MUCH	MOOD DUTCH
DUDE MUST	MOOD DUST
DUDE MY	MOOD DIE
DUDE RARE	RUDE DARE
DUDE RATE	RUDE DATE
DUDE RAY	RUDE DAY
DUDE RE	RUDE DAY
DUDE READ	RUDE DEAD
DUDE REAL	RUDE DEAL
DUDE RECENT	RUDE DECENT
DUDE RED	RUDE DEAD
DUDE RESERVE	RUDE DESERVE
DUDE RESIGN	RUDE DESIGN
DUDE RIOT	RUDE DIET
DUDE RISK	RUDE DISK
DUDE ROCK	RUDE DOC
DUDE ROW	RUDE DOUGH
DUE CHAIR	CHEW DARE
DUE CHANCE	CHEW DANCE
DUE CHEAP	CHEW DEEP
DUE CHECK	CHEW DECK
DUE CHEER	CHEW DEAR
DUE HAIR	WHO DARE
DUE HATE	WHO DATE
DUE HEAD	WHO DEAD
DUE HEADLINE	WHO DEADLINE
DUE HEAL	WHO DEAL
DUE HEAR	WHO DEAR
DUE HECK	WHO DECK
DUE HEEL	WHO DEAL
DUE HERE	WHO DEAR
DUE HEY	WHO DAY
DUE HI	WHO DIE
DUE HIGH	WHO DIE
DUE HOT	WHO DOT
DUE HURT	WHO DIRT
DUE KNOCK	NEW DOC
DUE KNOW	NEW DOUGH
DUE NEAR	NEW DEAR
DUE NECK	NEW DECK
DUE NET	NEW DEBT
DUE NO	NEW DOUGH
DUE NOMINATE	NEW DOMINATE
DUE NOR	NEW DOOR
DUE NOT	NEW DOT
DUE SAD	SUE DAD
DUE SAY	SUE DAY
DUE SEAL	SUE DEAL
DUE SEEM	SUE DEEM
DUE SET	SUE DEBT
DUE SHARE	SHOE DARE
DUE SHARK	SHOE DARK
DUE SHEEP	SHOE DEEP
DUE SHEER	SHOE DEAR
DUE SHIRT	SHOE DIRT
DUE SHOCK	SHOE DOC
DUE SHORE	SHOE DOOR
DUE SHOT	SHOE DOT
DUE SHOUT	SHOE DOUBT
DUE SHOW	SHOE DOUGH
DUE SHRINK	SHOE DRINK
DUE SHRUG	SHOE DRUG
DUE SHY	SHOE DIE
DUE SIGH	SUE DIE
DUE SO	SUE DOUGH
DUE SOCK	SUE DOC
DUE SOME	SUE DUMB
DUE SUCH	SUE DUTCH
DUE SUCK	SUE DUCK
DUE SUM	SUE DUMB
DUE TEAM	TO DEEM
DUE TEAR	TO DARE
DUE TECH	TO DECK
DUE TIE	TO DIE
DUE TOE	TO DOUGH
DUE TOO	TO DO
DUE TOUCH	TO DUTCH
DUE TOWN	TO DOWN
DUE TRAIN	TO DRAIN
DUE TRUNK	TO DRUNK
DUE TRY	TO DRY
DUE TUCK	TO DUCK
DUE TWO	TO DO
DUE YEAR	YOU DEAR
DUE YET	YOU DEBT
DUE YOUR	YOU DOOR
DUMB CANCER	COME DANCER
DUMB CARE	COME DARE
DUMB COLLAR	COME DOLLAR
DUMB CORE	COME DOOR
DUMB CORPS	COME DOOR
DUMB CORRECT	COME DIRECT
DUMB CORRECTION	COME DIRECTION
DUMB CORRECTLY	COME DIRECTLY
DUMB COUSIN	COME DOZEN
DUMB CRAFT	COME DRAFT
DUMB CREAM	COME DREAM
DUMB CROP	COME DROP
DUMB CROWN	COME DROWN
DUMB CRY	COME DRY
DUMB KEEP	COME DEEP
DUMB SAD	SOME DAD
DUMB SAY	SOME DAY
DUMB SEAL	SOME DEAL
DUMB SEEM	SOME DEEM
DUMB SET	SOME DEBT
DUMB SIGH	SOME DIE
DUMB SO	SOME DOUGH
DUMB SOCK	SOME DOC
DUMB SUCH	SOME DUTCH
DUMB SUCK	SOME DUCK
DUMB SUE	SOME DO
DUMB THEME	THUMB DEEM
DUMB THIGH	THUMB DIE
DUMB THRIVE	THUMB DRIVE
DUMP JET	JUMP DEBT
DUMP JUST	JUMP DUST
DUMP PAD	PUMP DAD
DUMP PAIR	PUMP DARE
DUMP PARK	PUMP DARK
DUMP PAY	PUMP DAY
DUMP PEEL	PUMP DEAL
DUMP PEER	PUMP DEAR
DUMP PET	PUMP DEBT
DUMP PIE	PUMP DIE
DUMP PIG	PUMP DIG
DUMP POT	PUMP DOT
DUMP POUR	PUMP DOOR
DUMP PRESS	PUMP DRESS
DUST JET	JUST DEBT
DUST JUMP	JUST DUMP
DUST MA'AM	MUST DAMN
DUST MAD	MUST DAD
DUST MARK	MUST DARK
DUST MATE	MUST DATE
DUST MAY	MUST DAY
DUST MEAL	MUST DEAL
DUST MERE	MUST DEAR
DUST MOOD	MUST DUDE
DUST MORE	MUST DOOR
DUST MUCH	MUST DUTCH
DUST MY	MUST DIE
DUTCH MA'AM	MUCH DAMN
DUTCH MAD	MUCH DAD
DUTCH MARK	MUCH DARK
DUTCH MATE	MUCH DATE
DUTCH MAY	MUCH DAY
DUTCH MEAL	MUCH DEAL
DUTCH MERE	MUCH DEAR
DUTCH MOOD	MUCH DUDE
DUTCH MORE	MUCH DOOR
DUTCH MUST	MUCH DUST
DUTCH MY	MUCH DIE
DUTCH SAD	SUCH DAD
DUTCH SAY	SUCH DAY
DUTCH SEAL	SUCH DEAL
DUTCH SEEM	SUCH DEEM
DUTCH SET	SUCH DEBT
DUTCH SIGH	SUCH DIE
DUTCH SO	SUCH DOUGH
DUTCH SOCK	SUCH DOC
DUTCH SOME	SUCH DUMB
DUTCH SUCK	SUCH DUCK
DUTCH SUE	SUCH DO
DUTCH SUM	SUCH DUMB
DUTCH TEAM	TOUCH DEEM
DUTCH TEAR	TOUCH DARE
DUTCH TECH	TOUCH DECK
DUTCH TIE	TOUCH DIE
DUTCH TO	TOUCH DO
DUTCH TOE	TOUCH DOUGH
DUTCH TOO	TOUCH DO
DUTCH TOWN	TOUCH DOWN
DUTCH TRAIN	TOUCH DRAIN
DUTCH TRUNK	TOUCH DRUNK
DUTCH TRY	TOUCH DRY
DUTCH TUCK	TOUCH DUCK
DUTCH TWO	TOUCH DO
EAR ET	AIR IT
EAR OFF	OR IF
EAR OUGHT	OR IT
EARLY FIVE	FLEE ARRIVE
EARLY FOUND	FLEE AROUND
EARLY PAY	PLEA ARRAY
EARLY POUND	PLEA AROUND
EASE AT	AS EAT
EAT AS	AT EASE
EDGE EIGHT	AGE ET
EGO OTHER	AGO EITHER
EGO OVEN	AGO EVEN
EH OVER	OH EVER
EH UNABLE	UH ENABLE
EIGHT AD	AT AID
EIGHT ADD	AT AID
EIGHT AM	AT AIM
EIGHT EDGE	ET AGE
EITHER AGO	OTHER EGO
EITHER OVEN	OTHER EVEN
ENABLE UH	UNABLE EH
END AT	AND ET
ET AGE	EIGHT EDGE
ET AND	AT END
ET EAR	IT AIR
ET OR	OUGHT AIR
EVEN AGO	OVEN EGO
EVEN OTHER	OVEN EITHER
EVER OH	OVER EH
EVER OWE	OVER EH
EXCEPT AT	ACCEPT IT
EYE US	UH ICE
FACE BAKE	BASE FAKE
FACE BAN	BASE FAN
FACE BAR	BASE FAR
FACE BARE	BASE FAIR
FACE BARELY	BASE FAIRLY
FACE BAT	BASE FAT
FACE BE	BASE FEE
FACE BEAR	BASE FAIR
FACE BEE	BASE FEE
FACE BEER	BASE FEAR
FACE BILL	BASE FILL
FACE BIND	BASE FIND
FACE BIT	BASE FIT
FACE BITE	BASE FIGHT
FACE BLAME	BASE FLAME
FACE BLOOD	BASE FLOOD
FACE BLOW	BASE FLOW
FACE BOLD	BASE FOLD
FACE BONE	BASE PHONE
FACE BOTHER	BASE FATHER
FACE BREEZE	BASE FREEZE
FACE BROAD	BASE FRAUD
FACE BUCK	BASE FUCK
FACE BULL	BASE FULL
FACE BURST	BASE FIRST
FACE BUYER	BASE FIRE
FACE CAKE	CASE FAKE
FACE CAN	CASE FAN
FACE CAR	CASE FAR
FACE CARE	CASE FAIR
FACE CAST	CASE FAST
FACE CAT	CASE FAT
FACE CHAIR	CHASE FAIR
FACE CHARM	CHASE FARM
FACE CHAT	CHASE FAT
FACE CHEER	CHASE FEAR
FACE CLAIM	CASE FLAME
FACE CLIP	CASE FLIP
FACE COLD	CASE FOLD
FACE COOL	CASE FOOL
FACE CORE	CASE FOR
FACE CORPS	CASE FOR
FACE COURSE	CASE FORCE
FACE CREEK	CASE FREAK
FACE CUE	CASE FEW
FACE KEY	CASE FEE
FACE KILL	CASE FILL
FACE KIND	CASE FIND
FACE KIT	CASE FIT
FACE PAIR	PACE FAIR
FACE PALE	PACE FAIL
FACE PAN	PACE FAN
FACE PASSION	PACE FASHION
FACE PAST	PACE FAST
FACE PASTOR	PACE FASTER
FACE PEEL	PACE FEEL
FACE PEER	PACE FEAR
FACE PILE	PACE FILE
FACE PILL	PACE FILL
FACE PINE	PACE FINE
FACE PIT	PACE FIT
FACE PLEA	PACE FLEE
FACE POOL	PACE FOOL
FACE PORK	PACE FORK
FACE POSITION	PACE PHYSICIAN
FACE POUND	PACE FOUND
FACE POUR	PACE FOR
FACE PRAISE	PACE PHRASE
FACE PULL	PACE FULL
FACE PUT	PACE FOOT
FACE RAIL	RACE FAIL
FACE RAISE	RACE PHASE
FACE RARE	RACE FAIR
FACE RARELY	RACE FAIRLY
FACE RAT	RACE FAT
FACE RATE	RACE FATE
FACE REAL	RACE FEEL
FACE RIGHT	RACE FIGHT
FACE ROUND	RACE FOUND
FACE RUDE	RACE FOOD
FACE RULE	RACE FOOL
FACE RUN	RACE FUN
FACE WRIST	RACE FIST
FACE WRITE	RACE FIGHT
FACE WRITER	RACE FIGHTER
FACE WRITING	RACE FIGHTING
FADE SHAKE	SHADE FAKE
FADE SHAME	SHADE FAME
FADE SHARE	SHADE FAIR
FADE SHE	SHADE FEE
FADE SHEER	SHADE FEAR
FADE SHIELD	SHADE FIELD
FADE SHINE	SHADE FINE
FADE SHORE	SHADE FOR
FAIL CEILING	SAIL FEELING
FAIL CITE	SAIL FIGHT
FAIL JAR	JAIL FAR
FAIL JOKE	JAIL FOLK
FAIL KNEE	NAIL FEE
FAIL KNOWN	NAIL PHONE
FAIL MAKE	MAIL FAKE
FAIL MAN	MAIL FAN
FAIL MASTER	MAIL FASTER
FAIL MATE	MAIL FATE
FAIL ME	MAIL FEE
FAIL MEAL	MAIL FEEL
FAIL MERE	MAIL FEAR
FAIL MIGHT	MAIL FIGHT
FAIL MILE	MAIL FILE
FAIL MILL	MAIL FILL
FAIL MIND	MAIL FIND
FAIL MINE	MAIL FINE
